Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
8,All Students,2021-22,6633,1569,5064,76.3,42,30,71.4
8,All Students,2022-23,7991,1196,6795,85.0,49,23,46.9
9,All Students,2019-20,29,s,s,s,s,s,s
9,All Students,2021-22,1034,160,874,84.5,6,5,83.3
9,All Students,2022-23,595,s,s,s,s,s,s
10,All Students,2022-23,831,s,s,s,s,s,s
All Grades,All Students,2018-19,62710,10398,52312,83.4,378,215,56.9
All Grades,All Students,2019-20,44704,7647,37057,82.9,417,247,59.2
All Grades,All Students,2020-21,66037,17702,48335,73.2,387,302,78.0
All Grades,All Students,2021-22,66705,16279,50426,75.6,415,322,77.6
All Grades,All Students,2022-23,68771,13391,55380,80.5,425,274,64.5
PK in K-12 Schools,All Students,2018-19,4253,693,3560,83.7,28,16,57.1
PK in K-12 Schools,All Students,2019-20,2444,461,1983,81.1,26,19,73.1
PK in K-12 Schools,All Students,2020-21,2960,1029,1931,65.2,19,17,89.5
PK in K-12 Schools,All Students,2021-22,3033,955,2078,68.5,25,23,92.0
PK in K-12 Schools,All Students,2022-23,4169,787,3382,81.1,27,21,77.8
0K,All Students,2018-19,4055,791,3264,80.5,26,16,61.5
0K,All Students,2019-20,5971,893,5078,85.0,58,32,55.2
0K,All Students,2020-21,7890,1948,5942,75.3,50,35,70.0
0K,All Students,2021-22,6469,1524,4945,76.4,46,37,80.4
0K,All Students,2022-23,7984,1371,6613,82.8,60,37,61.7
1,All Students,2018-19,6915,1197,5718,82.7,41,23,56.1
1,All Students,2019-20,5006,926,4080,81.5,48,31,64.6
1,All Students,2020-21,9193,2323,6870,74.7,53,37,69.8
1,All Students,2021-22,10001,2387,7614,76.1,64,51,79.7
1,All Students,2022-23,8209,1643,6566,80.0,49,29,59.2
2,All Students,2018-19,5387,876,4511,83.7,32,17,53.1
2,All Students,2019-20,5104,891,4213,82.5,47,30,63.8
2,All Students,2020-21,7600,1728,5872,77.3,43,32,74.4
2,All Students,2021-22,8043,1709,6334,78.8,48,35,72.9
2,All Students,2022-23,9322,2086,7236,77.6,57,42,73.7
3,All Students,2018-19,6048,903,5145,85.1,37,20,54.1
3,All Students,2019-20,3936,500,3436,87.3,37,21,56.8
3,All Students,2020-21,7498,1874,5624,75.0,45,32,71.1
3,All Students,2021-22,7102,1564,5538,78.0,42,33,78.6
3,All Students,2022-23,6838,1233,5605,82.0,43,26,60.5
4,All Students,2018-19,4284,685,3599,84.0,26,18,69.2
4,All Students,2019-20,4708,698,4010,85.2,41,22,53.7
4,All Students,2020-21,5942,1830,4112,69.2,33,27,81.8
4,All Students,2021-22,7016,1507,5509,78.5,42,32,76.2
4,All Students,2022-23,6376,1113,5263,82.5,38,20,52.6
5,All Students,2018-19,5774,1022,4752,82.3,37,21,56.8
5,All Students,2019-20,3204,584,2620,81.8,29,19,65.5
5,All Students,2020-21,6535,1783,4752,72.7,38,34,89.5
5,All Students,2021-22,6012,1176,4836,80.4,37,25,67.6
5,All Students,2022-23,6625,1140,5485,82.8,39,25,64.1
6,All Students,2018-19,6203,854,5349,86.2,36,17,47.2
6,All Students,2019-20,4237,904,3333,78.7,39,25,64.1
6,All Students,2020-21,3989,1178,2811,70.5,23,21,91.3
6,All Students,2021-22,6364,1904,4460,70.1,36,26,72.2
6,All Students,2022-23,6667,1301,5366,80.5,39,24,61.5
7,All Students,2018-19,7794,1257,6537,83.9,44,22,50.0
7,All Students,2019-20,3322,499,2823,85.0,31,16,51.6
7,All Students,2020-21,5986,1768,4218,70.5,35,29,82.9
7,All Students,2021-22,3618,772,2846,78.7,23,16,69.6
7,All Students,2022-23,6228,1214,5014,80.5,36,24,66.7
8,All Students,2018-19,8097,1155,6942,85.7,47,27,57.4
8,All Students,2019-20,4768,776,3992,83.7,43,20,46.5
8,All Students,2020-21,4752,1144,3608,75.9,27,25,92.6
8,All Students,2021-22,6019,1615,4404,73.2,34,28,82.4
8,All Students,2022-23,3894,785,3109,79.8,21,14,66.7
9,All Students,2018-19,1769,s,s,s,s,s,s
9,All Students,2019-20,804,s,s,s,s,s,s
9,All Students,2020-21,1723,694,1029,59.7,10,10,100.0
9,All Students,2021-22,955,453,502,52.6,5,s,s
9,All Students,2022-23,1671,395,1276,76.4,10,7,70.0
10,All Students,2018-19,1955,504,1451,74.2,13,10,76.9
10,All Students,2019-20,971,212,759,78.2,9,6,66.7
10,All Students,2020-21,1232,349,883,71.7,7,3,42.9
10,All Students,2021-22,1424,597,827,58.1,9,8,88.9
10,All Students,2022-23,708,s,s,s,s,s,s
11,All Students,2019-20,229,s,s,s,s,s,s
11,All Students,2020-21,176,s,s,s,s,s,s
11,All Students,2021-22,348,s,s,s,s,s,s
12,All Students,2018-19,176,s,s,s,s,s,s
12,All Students,2020-21,528,s,s,s,s,s,s
12,All Students,2021-22,301,s,s,s,s,s,s
12,All Students,2022-23,80,s,s,s,s,s,s
All Grades,All Students,2018-19,63638,6721,56917,89.4,377,147,39.0
All Grades,All Students,2019-20,36853,3832,33021,89.6,333,122,36.6
All Grades,All Students,2020-21,52733,6333,46400,88.0,313,125,39.9
All Grades,All Students,2021-22,53179,8421,44758,84.2,316,197,62.3
All Grades,All Students,2022-23,54277,6657,47620,87.7,322,145,45.0
0K,All Students,2018-19,8244,1080,7164,86.9,52,22,42.3
0K,All Students,2019-20,3079,458,2621,85.1,31,19,61.3
0K,All Students,2020-21,2484,s,s,s,s,s,s
0K,All Students,2021-22,4453,724,3729,83.7,28,20,71.4
0K,All Students,2022-23,2097,s,s,s,s,s,s
1,All Students,2018-19,7161,730,6431,89.8,41,15,36.6
1,All Students,2019-20,5099,640,4459,87.4,46,17,37.0
1,All Students,2020-21,5770,694,5076,88.0,35,14,40.0
1,All Students,2021-22,4239,636,3603,85.0,25,15,60.0
1,All Students,2022-23,5030,803,4227,84.0,31,21,67.7
2,All Students,2018-19,7120,685,6435,90.4,41,16,39.0
2,All Students,2019-20,3843,397,3446,89.7,35,11,31.4
2,All Students,2020-21,7934,1132,6802,85.7,46,22,47.8
2,All Students,2021-22,5895,1004,4891,83.0,34,20,58.8
2,All Students,2022-23,5304,530,4774,90.0,31,11,35.5
3,All Students,2018-19,7151,899,6252,87.4,44,26,59.1
3,All Students,2019-20,5112,454,4658,91.1,46,16,34.8
3,All Students,2020-21,7601,627,6974,91.8,45,11,24.4
3,All Students,2021-22,9098,1391,7707,84.7,54,30,55.6
3,All Students,2022-23,7729,883,6846,88.6,47,18,38.3
4,All Students,2018-19,8526,872,7654,89.8,50,15,30.0
4,All Students,2019-20,3705,415,3290,88.8,33,16,48.5
4,All Students,2020-21,7350,789,6561,89.3,42,16,38.1
4,All Students,2021-22,7601,1081,6520,85.8,44,24,54.5
4,All Students,2022-23,9884,1148,8736,88.4,57,25,43.9
5,All Students,2018-19,8956,836,8120,90.7,53,21,39.6
5,All Students,2019-20,5322,428,4894,92.0,47,13,27.7
5,All Students,2020-21,5612,787,4825,86.0,33,16,48.5
5,All Students,2021-22,6958,1145,5813,83.5,41,27,65.9
5,All Students,2022-23,8631,879,7752,89.8,52,20,38.5
6,All Students,2018-19,4622,s,s,s,s,s,s
6,All Students,2019-20,3260,351,2909,89.2,29,10,34.5
6,All Students,2020-21,6579,957,5622,85.5,40,18,45.0
6,All Students,2021-22,3890,722,3168,81.4,23,18,78.3
6,All Students,2022-23,5563,827,4736,85.1,33,18,54.5
7,All Students,2018-19,7225,805,6420,88.9,41,14,34.1
7,All Students,2019-20,2945,s,s,s,s,s,s
7,All Students,2020-21,4894,473,4421,90.3,28,9,32.1
7,All Students,2021-22,6432,951,5481,85.2,41,27,65.9
7,All Students,2022-23,3992,688,3304,82.8,23,14,60.9
8,All Students,2018-19,4630,358,4272,92.3,27,9,33.3
8,All Students,2019-20,4485,443,4042,90.1,40,13,32.5
8,All Students,2020-21,4492,489,4003,89.1,26,11,42.3
8,All Students,2021-22,4613,767,3846,83.4,26,16,61.5
8,All Students,2022-23,6046,739,5307,87.8,36,14,38.9
9,All Students,2018-19,3,s,s,s,s,s,s
9,All Students,2019-20,3,s,s,s,s,s,s
9,All Students,2020-21,17,s,s,s,s,s,s
9,All Students,2022-23,1,s,s,s,s,s,s
All Grades,All Students,2018-19,47143,10081,37062,78.6,385,272,70.6
All Grades,All Students,2019-20,31672,7414,24258,76.6,329,207,62.9
All Grades,All Students,2020-21,45326,16941,28385,62.6,279,222,79.6
All Grades,All Students,2021-22,40133,9709,30424,75.8,304,226,74.3
All Grades,All Students,2022-23,42656,9287,33369,78.2,315,236,74.9
PK in K-12 Schools,All Students,2018-19,578,s,s,s,s,s,s
PK in K-12 Schools,All Students,2019-20,1101,s,s,s,s,s,s
PK in K-12 Schools,All Students,2020-21,1232,354,878,71.3,7,5,71.4
PK in K-12 Schools,All Students,2021-22,830,s,s,s,s,s,s
PK in K-12 Schools,All Students,2022-23,1954,492,1462,74.8,15,13,86.7
0K,All Students,2018-19,1212,s,s,s,s,s,s
0K,All Students,2019-20,1882,329,1553,82.5,20,13,65.0
0K,All Students,2020-21,3393,1102,2291,67.5,20,18,90.0
0K,All Students,2021-22,1565,368,1197,76.5,9,7,77.8
0K,All Students,2022-23,2684,543,2141,79.8,17,12,70.6
1,All Students,2018-19,2093,349,1744,83.3,14,9,64.3
1,All Students,2019-20,861,s,s,s,s,s,s
1,All Students,2020-21,2706,821,1885,69.7,16,14,87.5
1,All Students,2021-22,3286,767,2519,76.7,21,19,90.5
1,All Students,2022-23,2477,444,2033,82.1,16,11,68.8
2,All Students,2018-19,2582,392,2190,84.8,17,10,58.8
2,All Students,2019-20,1620,300,1320,81.5,16,12,75.0
2,All Students,2020-21,1573,593,980,62.3,9,9,100.0
2,All Students,2021-22,2614,550,2064,79.0,16,13,81.3
2,All Students,2022-23,3011,550,2461,81.7,17,12,70.6
3,All Students,2018-19,3138,512,2626,83.7,21,15,71.4
3,All Students,2019-20,1963,324,1639,83.5,20,13,65.0
3,All Students,2020-21,3062,997,2065,67.4,18,17,94.4
3,All Students,2021-22,1362,s,s,s,s,s,s
3,All Students,2022-23,2529,396,2133,84.3,17,8,47.1
4,All Students,2018-19,3578,520,3058,85.5,27,15,55.6
4,All Students,2019-20,2036,281,1755,86.2,20,11,55.0
4,All Students,2020-21,3256,1243,2013,61.8,20,18,90.0
4,All Students,2021-22,3003,644,2359,78.6,19,15,78.9
4,All Students,2022-23,1230,243,987,80.2,9,7,77.8
5,All Students,2018-19,3792,602,3190,84.1,26,18,69.2
5,All Students,2019-20,2219,354,1865,84.0,20,9,45.0
5,All Students,2020-21,3348,939,2409,72.0,21,17,81.0
5,All Students,2021-22,2491,661,1830,73.5,14,10,71.4
5,All Students,2022-23,2850,796,2054,72.1,20,19,95.0
6,All Students,2018-19,6260,1282,4978,79.5,43,32,74.4
6,All Students,2019-20,3166,785,2381,75.2,27,15,55.6
6,All Students,2020-21,3785,1294,2491,65.8,23,19,82.6
6,All Students,2021-22,3565,822,2743,76.9,25,19,76.0
6,All Students,2022-23,2797,676,2121,75.8,20,15,75.0
7,All Students,2018-19,5552,1036,4516,81.3,43,31,72.1
7,All Students,2019-20,4487,1076,3411,76.0,41,25,61.0
7,All Students,2020-21,4721,2175,2546,53.9,29,21,72.4
7,All Students,2021-22,3174,760,2414,76.1,27,18,66.7
7,All Students,2022-23,3525,706,2819,80.0,26,22,84.6
8,All Students,2018-19,5928,1220,4708,79.4,46,33,71.7
8,All Students,2019-20,3889,1104,2785,71.6,42,32,76.2
8,All Students,2020-21,6960,2353,4607,66.2,47,35,74.5
8,All Students,2021-22,5360,1503,3857,72.0,44,33,75.0
8,All Students,2022-23,4514,1123,3391,75.1,36,26,72.2
9,All Students,2018-19,4284,1259,3025,70.6,46,33,71.7
9,All Students,2019-20,2328,1034,1294,55.6,32,23,71.9
9,All Students,2020-21,2488,1426,1062,42.7,15,10,66.7
9,All Students,2021-22,2074,431,1643,79.2,21,14,66.7
9,All Students,2022-23,3528,908,2620,74.3,27,24,88.9
10,All Students,2018-19,3696,1347,2349,63.6,35,28,80.0
10,All Students,2019-20,2927,730,2197,75.1,33,23,69.7
10,All Students,2020-21,2966,1195,1771,59.7,18,15,83.3
10,All Students,2021-22,3900,977,2923,74.9,38,27,71.1
10,All Students,2022-23,3889,1023,2866,73.7,38,31,81.6
11,All Students,2018-19,2019,728,1291,63.9,25,17,68.0
11,All Students,2019-20,1443,497,946,65.6,19,11,57.9
11,All Students,2020-21,3345,1470,1875,56.1,23,17,73.9
11,All Students,2021-22,3211,1003,2208,68.8,28,22,78.6
11,All Students,2022-23,2626,698,1928,73.4,23,17,73.9
12,All Students,2018-19,2431,478,1953,80.3,20,13,65.0
12,All Students,2019-20,1750,302,1448,82.7,18,6,33.3
12,All Students,2020-21,2491,979,1512,60.7,13,7,53.8
12,All Students,2021-22,3698,680,3018,81.6,26,14,53.8
12,All Students,2022-23,5042,689,4353,86.3,34,19,55.9
All Grades,All Students,2018-19,94705,13545,81160,85.7,576,259,45.0
All Grades,All Students,2019-20,59214,7765,51449,86.9,540,244,45.2
All Grades,All Students,2020-21,91812,18449,73363,79.9,533,275,51.6
All Grades,All Students,2021-22,85698,17394,68304,79.7,533,354,66.4
All Grades,All Students,2022-23,88307,14904,73403,83.1,533,340,63.8
0K,All Students,2018-19,4589,496,4093,89.2,28,9,32.1
0K,All Students,2019-20,3547,532,3015,85.0,32,17,53.1
0K,All Students,2020-21,2170,226,1944,89.6,13,4,30.8
0K,All Students,2021-22,3686,807,2879,78.1,26,22,84.6
0K,All Students,2022-23,5649,945,4704,83.3,37,28,75.7
1,All Students,2018-19,6953,660,6293,90.5,43,16,37.2
1,All Students,2019-20,3221,262,2959,91.9,28,7,25.0
1,All Students,2020-21,5655,1238,4417,78.1,33,17,51.5
1,All Students,2021-22,3694,528,3166,85.7,27,16,59.3
1,All Students,2022-23,4572,626,3946,86.3,28,18,64.3
2,All Students,2018-19,5260,374,4886,92.9,32,10,31.3
2,All Students,2019-20,4420,469,3951,89.4,41,15,36.6
2,All Students,2020-21,5101,841,4260,83.5,29,17,58.6
2,All Students,2021-22,5834,940,4894,83.9,35,18,51.4
2,All Students,2022-23,5264,691,4573,86.9,31,19,61.3
3,All Students,2018-19,6444,712,5732,89.0,38,16,42.1
3,All Students,2019-20,4009,322,3687,92.0,36,13,36.1
3,All Students,2020-21,7534,1292,6242,82.9,45,22,48.9
3,All Students,2021-22,5021,751,4270,85.0,30,19,63.3
3,All Students,2022-23,6356,990,5366,84.4,39,23,59.0
4,All Students,2018-19,7342,901,6441,87.7,44,20,45.5
4,All Students,2019-20,4351,477,3874,89.0,40,16,40.0
4,All Students,2020-21,6094,987,5107,83.8,36,16,44.4
4,All Students,2021-22,6725,1010,5715,85.0,44,31,70.5
4,All Students,2022-23,4759,778,3981,83.7,29,23,79.3
5,All Students,2018-19,10159,959,9200,90.6,60,18,30.0
5,All Students,2019-20,4418,612,3806,86.1,41,24,58.5
5,All Students,2020-21,7213,846,6367,88.3,41,12,29.3
5,All Students,2021-22,5195,981,4214,81.1,32,20,62.5
5,All Students,2022-23,6824,958,5866,86.0,40,23,57.5
6,All Students,2018-19,11291,1425,9866,87.4,68,31,45.6
6,All Students,2019-20,6733,765,5968,88.6,61,21,34.4
6,All Students,2020-21,9290,1617,7673,82.6,53,26,49.1
6,All Students,2021-22,8574,1803,6771,79.0,54,43,79.6
6,All Students,2022-23,6633,902,5731,86.4,39,22,56.4
7,All Students,2018-19,11470,1692,9778,85.2,71,38,53.5
7,All Students,2019-20,7289,1078,6211,85.2,66,32,48.5
7,All Students,2020-21,10238,1997,8241,80.5,59,33,55.9
7,All Students,2021-22,9246,1913,7333,79.3,58,35,60.3
7,All Students,2022-23,10176,1844,8332,81.9,62,45,72.6
8,All Students,2018-19,12485,2236,10249,82.1,75,37,49.3
8,All Students,2019-20,7459,1167,6292,84.4,68,37,54.4
8,All Students,2020-21,11043,2923,8120,73.5,64,41,64.1
8,All Students,2021-22,8945,1466,7479,83.6,57,34,59.6
8,All Students,2022-23,9638,1654,7984,82.8,57,36,63.2
9,All Students,2018-19,3586,768,2818,78.6,24,16,66.7
9,All Students,2019-20,4185,506,3679,87.9,37,13,35.1
9,All Students,2020-21,8431,1878,6553,77.7,49,27,55.1
9,All Students,2021-22,6458,1432,5026,77.8,38,25,65.8
9,All Students,2022-23,6843,1068,5775,84.4,40,24,60.0
10,All Students,2018-19,6598,1359,5239,79.4,39,19,48.7
10,All Students,2019-20,3204,543,2661,83.1,32,22,68.8
10,All Students,2020-21,7299,1503,5796,79.4,42,20,47.6
10,All Students,2021-22,7945,1829,6116,77.0,49,33,67.3
10,All Students,2022-23,6320,1148,5172,81.8,38,22,57.9
11,All Students,2018-19,4645,1005,3640,78.4,28,16,57.1
11,All Students,2019-20,3441,449,2992,87.0,32,12,37.5
11,All Students,2020-21,4690,1384,3306,70.5,27,18,66.7
11,All Students,2021-22,6148,1590,4558,74.1,35,25,71.4
11,All Students,2022-23,7634,1479,6155,80.6,46,28,60.9
12,All Students,2018-19,3883,958,2925,75.3,26,13,50.0
12,All Students,2019-20,2937,583,2354,80.1,26,15,57.7
12,All Students,2020-21,7054,1717,5337,75.7,42,22,52.4
12,All Students,2021-22,8227,2344,5883,71.5,48,33,68.8
12,All Students,2022-23,7639,1821,5818,76.2,47,29,61.7
All Grades,All Students,2018-19,44689,4826,39863,89.2,262,114,43.5
All Grades,All Students,2019-20,28703,3496,25207,87.8,264,118,44.7
All Grades,All Students,2020-21,41259,6055,35204,85.3,240,110,45.8
All Grades,All Students,2021-22,42066,6467,35599,84.6,255,152,59.6
All Grades,All Students,2022-23,44734,5130,39604,88.5,266,110,41.4
0K,All Students,2018-19,108,s,s,s,s,s,s
0K,All Students,2019-20,1525,206,1319,86.5,15,9,60.0
0K,All Students,2020-21,1045,116,929,88.9,6,1,16.7
0K,All Students,2021-22,2573,443,2130,82.8,19,14,73.7
0K,All Students,2022-23,1500,171,1329,88.6,13,5,38.5
1,All Students,2018-19,1509,138,1371,90.9,11,5,45.5
1,All Students,2019-20,376,s,s,s,s,s,s
1,All Students,2020-21,3043,440,2603,85.5,18,10,55.6
1,All Students,2021-22,1517,181,1336,88.1,10,7,70.0
1,All Students,2022-23,3153,319,2834,89.9,18,6,33.3
2,All Students,2018-19,1615,230,1385,85.8,10,7,70.0
2,All Students,2019-20,1035,s,s,s,s,s,s
2,All Students,2020-21,924,101,823,89.1,6,4,66.7
2,All Students,2021-22,3518,488,3030,86.1,21,11,52.4
2,All Students,2022-23,2020,188,1832,90.7,12,5,41.7
3,All Students,2018-19,3390,300,3090,91.2,20,10,50.0
3,All Students,2019-20,1826,253,1573,86.1,18,10,55.6
3,All Students,2020-21,2288,274,2014,88.0,13,6,46.2
3,All Students,2021-22,1692,221,1471,86.9,10,7,70.0
3,All Students,2022-23,4864,685,4179,85.9,29,15,51.7
4,All Students,2018-19,3745,411,3334,89.0,22,12,54.5
4,All Students,2019-20,2348,215,2133,90.8,22,10,45.5
4,All Students,2020-21,2281,407,1874,82.2,13,7,53.8
4,All Students,2021-22,2406,260,2146,89.2,16,9,56.3
4,All Students,2022-23,1839,183,1656,90.0,11,4,36.4
5,All Students,2018-19,1989,250,1739,87.4,12,7,58.3
5,All Students,2019-20,2660,306,2354,88.5,25,8,32.0
5,All Students,2020-21,3520,375,3145,89.3,20,7,35.0
5,All Students,2021-22,1932,488,1444,74.7,13,9,69.2
5,All Students,2022-23,2632,192,2440,92.7,16,2,12.5
6,All Students,2018-19,6559,629,5930,90.4,38,15,39.5
6,All Students,2019-20,1262,147,1115,88.4,12,4,33.3
6,All Students,2020-21,1979,300,1679,84.8,12,6,50.0
6,All Students,2021-22,3655,473,3182,87.1,21,10,47.6
6,All Students,2022-23,1880,164,1716,91.3,11,4,36.4
7,All Students,2018-19,2634,208,2426,92.1,16,6,37.5
7,All Students,2019-20,4210,493,3717,88.3,37,18,48.6
7,All Students,2020-21,2306,215,2091,90.7,14,4,28.6
7,All Students,2021-22,2077,260,1817,87.5,12,9,75.0
7,All Students,2022-23,3996,562,3434,85.9,23,15,65.2
8,All Students,2018-19,6758,737,6021,89.1,38,10,26.3
8,All Students,2019-20,2894,395,2499,86.4,26,13,50.0
8,All Students,2020-21,6845,925,5920,86.5,39,21,53.8
8,All Students,2021-22,3224,514,2710,84.1,20,10,50.0
8,All Students,2022-23,2305,245,2060,89.4,14,7,50.0
9,All Students,2018-19,6798,729,6069,89.3,40,15,37.5
9,All Students,2019-20,3299,367,2932,88.9,30,15,50.0
9,All Students,2020-21,4064,1104,2960,72.8,24,17,70.8
9,All Students,2021-22,6995,1156,5839,83.5,41,25,61.0
9,All Students,2022-23,8393,1060,7333,87.4,49,19,38.8
10,All Students,2018-19,5145,562,4583,89.1,29,14,48.3
10,All Students,2019-20,3569,431,3138,87.9,32,10,31.3
10,All Students,2020-21,5915,645,5270,89.1,34,9,26.5
10,All Students,2021-22,4986,751,4235,84.9,29,16,55.2
10,All Students,2022-23,4244,614,3630,85.5,24,14,58.3
11,All Students,2018-19,3371,412,2959,87.8,19,8,42.1
11,All Students,2019-20,2540,362,2178,85.7,23,11,47.8
11,All Students,2020-21,4593,621,3972,86.5,27,12,44.4
11,All Students,2021-22,4762,625,4137,86.9,27,14,51.9
11,All Students,2022-23,5456,541,4915,90.1,31,9,29.0
12,All Students,2018-19,1068,s,s,s,s,s,s
12,All Students,2019-20,1159,177,982,84.7,11,5,45.5
12,All Students,2020-21,2456,532,1924,78.3,14,6,42.9
12,All Students,2021-22,2729,607,2122,77.8,16,11,68.8
12,All Students,2022-23,2452,206,2246,91.6,15,5,33.3
All Grades,All Students,2018-19,44391,13161,31230,70.4,284,210,73.9
All Grades,All Students,2019-20,28603,8848,19755,69.1,263,185,70.3
All Grades,All Students,2020-21,37032,9911,27121,73.2,228,131,57.5
All Grades,All Students,2021-22,36680,12580,24100,65.7,240,182,75.8
All Grades,All Students,2022-23,39078,13730,25348,64.9,246,173,70.3
9,All Students,2018-19,13663,5511,8152,59.7,89,78,87.6
9,All Students,2019-20,7821,2877,4944,63.2,77,58,75.3
9,All Students,2020-21,6205,2487,3718,59.9,39,26,66.7
9,All Students,2021-22,11067,4563,6504,58.8,75,63,84.0
9,All Students,2022-23,10546,3860,6686,63.4,69,52,75.4
10,All Students,2018-19,17082,3929,13153,77.0,110,67,60.9
10,All Students,2019-20,10119,3000,7119,70.4,91,57,62.6
10,All Students,2020-21,9387,3000,6387,68.0,57,39,68.4
10,All Students,2021-22,5435,2461,2974,54.7,39,32,82.1
10,All Students,2022-23,10564,4502,6062,57.4,67,51,76.1
11,All Students,2018-19,9511,2689,6822,71.7,62,50,80.6
11,All Students,2019-20,6078,1636,4442,73.1,55,39,70.9
11,All Students,2020-21,10909,1789,9120,83.6,62,24,38.7
11,All Students,2021-22,9634,2199,7435,77.2,60,40,66.7
11,All Students,2022-23,8052,2292,5760,71.5,52,36,69.2
12,All Students,2018-19,4135,1032,3103,75.0,23,15,65.2
12,All Students,2019-20,4585,1335,3250,70.9,40,31,77.5
12,All Students,2020-21,10531,2635,7896,75.0,70,42,60.0
12,All Students,2021-22,10544,3357,7187,68.2,66,47,71.2
12,All Students,2022-23,9916,3076,6840,69.0,58,34,58.6
All Grades,All Students,2018-19,36616,2188,34428,94.0,213,29,13.6
All Grades,All Students,2019-20,22446,1338,21108,94.0,201,33,16.4
All Grades,All Students,2020-21,32646,2588,30058,92.1,196,44,22.4
All Grades,All Students,2021-22,31156,3217,27939,89.7,190,68,35.8
All Grades,All Students,2022-23,33711,3428,30283,89.8,206,79,38.3
0K,All Students,2018-19,5230,290,4940,94.5,32,5,15.6
0K,All Students,2019-20,3550,286,3264,91.9,32,11,34.4
0K,All Students,2020-21,5476,413,5063,92.5,33,9,27.3
0K,All Students,2021-22,2693,329,2364,87.8,19,8,42.1
0K,All Students,2022-23,5406,542,4864,90.0,34,14,41.2
1,All Students,2018-19,4840,331,4509,93.2,28,4,14.3
1,All Students,2019-20,3746,228,3518,93.9,34,3,8.8
1,All Students,2020-21,5434,629,4805,88.4,33,12,36.4
1,All Students,2021-22,6047,560,5487,90.7,37,13,35.1
1,All Students,2022-23,4130,515,3615,87.5,26,11,42.3
2,All Students,2018-19,5981,356,5625,94.0,35,5,14.3
2,All Students,2019-20,3152,176,2976,94.4,29,6,20.7
2,All Students,2020-21,5412,312,5100,94.2,33,4,12.1
2,All Students,2021-22,4808,672,4136,86.0,31,14,45.2
2,All Students,2022-23,6653,765,5888,88.5,41,16,39.0
3,All Students,2018-19,5967,323,5644,94.6,35,6,17.1
3,All Students,2019-20,3220,175,3045,94.6,28,3,10.7
3,All Students,2020-21,5281,293,4988,94.5,31,4,12.9
3,All Students,2021-22,5425,383,5042,92.9,33,7,21.2
3,All Students,2022-23,5031,454,4577,91.0,31,12,38.7
4,All Students,2018-19,5984,271,5713,95.5,34,4,11.8
4,All Students,2019-20,3239,155,3084,95.2,29,5,17.2
4,All Students,2020-21,4040,194,3846,95.2,24,3,12.5
4,All Students,2021-22,5106,517,4589,89.9,29,12,41.4
4,All Students,2022-23,5501,447,5054,91.9,33,8,24.2
5,All Students,2018-19,6122,273,5849,95.5,35,1,2.9
5,All Students,2019-20,3828,211,3617,94.5,34,4,11.8
5,All Students,2020-21,4728,336,4392,92.9,29,4,13.8
5,All Students,2021-22,4059,340,3719,91.6,24,6,25.0
5,All Students,2022-23,4759,405,4354,91.5,28,12,42.9
6,All Students,2018-19,356,s,s,s,s,s,s
6,All Students,2019-20,575,s,s,s,s,s,s
6,All Students,2020-21,1050,190,860,81.9,6,4,66.7
6,All Students,2021-22,1058,s,s,s,s,s,s
6,All Students,2022-23,531,s,s,s,s,s,s
7,All Students,2018-19,1424,214,1210,85.0,8,1,12.5
7,All Students,2019-20,331,s,s,s,s,s,s
7,All Students,2020-21,875,s,s,s,s,s,s
7,All Students,2021-22,1062,167,895,84.3,6,3,50.0
7,All Students,2022-23,638,s,s,s,s,s,s
8,All Students,2018-19,712,s,s,s,s,s,s
8,All Students,2019-20,805,s,s,s,s,s,s
8,All Students,2020-21,350,s,s,s,s,s,s
8,All Students,2021-22,898,s,s,s,s,s,s
8,All Students,2022-23,1062,171,891,83.9,6,4,66.7
All Grades,All Students,2018-19,78769,13613,65156,82.7,473,269,56.9
All Grades,All Students,2019-20,54261,8864,45397,83.7,487,251,51.5
All Grades,All Students,2020-21,84338,16284,68054,80.7,492,269,54.7
All Grades,All Students,2021-22,84009,18791,65218,77.6,506,371,73.3
All Grades,All Students,2022-23,76230,14540,61690,80.9,460,279,60.7
7,All Students,2021-22,3,s,s,s,s,s,s
9,All Students,2018-19,10891,1446,9445,86.7,68,33,48.5
9,All Students,2019-20,8341,1041,7300,87.5,76,36,47.4
9,All Students,2020-21,13161,2077,11084,84.2,79,40,50.6
9,All Students,2021-22,9538,s,s,s,s,s,s
9,All Students,2022-23,8689,1958,6731,77.5,55,36,65.5
10,All Students,2018-19,12147,1804,10343,85.1,71,37,52.1
10,All Students,2019-20,7118,983,6135,86.2,65,29,44.6
10,All Students,2020-21,12576,2093,10483,83.4,72,36,50.0
10,All Students,2021-22,12421,2798,9623,77.5,76,56,73.7
10,All Students,2022-23,10838,1950,8888,82.0,64,35,54.7
11,All Students,2018-19,8997,1829,7168,79.7,54,33,61.1
11,All Students,2019-20,8834,1318,7516,85.1,78,38,48.7
11,All Students,2020-21,10117,1780,8337,82.4,58,28,48.3
11,All Students,2021-22,11836,2567,9269,78.3,70,50,71.4
11,All Students,2022-23,11025,1947,9078,82.3,66,34,51.5
12,All Students,2018-19,46734,8534,38200,81.7,280,166,59.3
